"","X.log10P","log2FC","feature","SigDiff","norm"
"distance.2",150.415668775632,1.81370881613153,"distance.2","UP",150.426603208643
"distance.3",136.893469146178,1.29915863629298,"distance.3","UP",136.899633703081
"distance.4",92.1739251972992,0.904346301935673,"distance.4","UP",92.1783614982992
"distance.5",104.544013760933,0.947691176538629,"distance.5","UP",104.548309081554
"distance.7",106.200659450546,1.08749492257176,"distance.7","UP",106.206227279466
"distance.8",75.6176226965319,0.826320398319705,"distance.8","UP",75.6221374180586
"distance.33",52.0161656177676,0.636820797308171,"distance.33","UP",52.0200636899159
"distance.34",54.9393021596464,0.628177012106537,"distance.34","UP",54.9428933361492
"distance.48",81.8752163962678,0.695606625583557,"distance.48","UP",81.8781712577487
"distance.49",63.2253370774622,0.664334879093846,"distance.49","UP",63.2288272023947
"distance.50",65.7563093674465,0.670132549752931,"distance.50","UP",65.7597239901566
"distance.51",62.9378520932512,0.619995812556773,"distance.51","UP",62.9409057840729
"distance.53",81.0060129837825,0.642385802670261,"distance.53","UP",81.008560035642
"distance.64",61.3575354797579,0.683853903880054,"distance.64","UP",61.3613462719944
"distance.100",53.2057443828256,0.658420707146137,"distance.100","UP",53.2098182026417
"distance.106",66.3068595393247,0.697049346903684,"distance.106","UP",66.3105232957768
"distance.124",52.698970004336,0.598717550517866,"distance.124","UP",52.7023709355016
"distance.172",51.4807939572156,0.588152338733831,"distance.172","UP",51.4841535779588
"distance.203",55.8374815481336,0.636852057406202,"distance.203","UP",55.8411132247664
"distance.237",39.4094342953625,0.636147152566552,"distance.237","UP",39.4145683051358
"distance.258",65.5985994592185,0.6444900061293,"distance.258","UP",65.6017653602323
"distance.259",100.284832642152,0.785740944510132,"distance.259","UP",100.28791077142
"distance.264",66.4131315075671,0.632669036439433,"distance.264","UP",66.416144925395
"distance.265",71.9040837963087,0.756280912450161,"distance.265","UP",71.9080609348154
"distance.276",75.2970997020356,0.753529369113743,"distance.276","UP",75.3008700484158
"distance.283",72.7657358756212,0.713273433499859,"distance.283","UP",72.7692316608579
